@timestamp per minute,Count
"January 11th 2019, 14:20:00.000",2573
"January 11th 2019, 14:30:00.000",14265
"January 11th 2019, 14:40:00.000",14194
"January 11th 2019, 14:50:00.000",14216
"January 11th 2019, 15:00:00.000",14137
"January 11th 2019, 15:10:00.000",14231
"January 11th 2019, 15:20:00.000",14078
"January 11th 2019, 15:30:00.000",10635
"January 11th 2019, 15:40:00.000",1243
"January 11th 2019, 15:50:00.000",2253
"January 11th 2019, 16:00:00.000",4242
"January 11th 2019, 16:10:00.000",37576
"January 11th 2019, 16:20:00.000",2550
"January 11th 2019, 16:30:00.000",2723
"January 11th 2019, 16:40:00.000",2302
"January 11th 2019, 16:50:00.000",2452
"January 11th 2019, 17:00:00.000",4328
"January 11th 2019, 17:10:00.000",29021
"January 11th 2019, 17:20:00.000",25125
"January 11th 2019, 17:30:00.000",17028
"January 11th 2019, 17:40:00.000",17470
"January 11th 2019, 17:50:00.000",16273
"January 11th 2019, 18:00:00.000",13379
"January 11th 2019, 18:10:00.000",8344
"January 11th 2019, 18:20:00.000",11064
"January 11th 2019, 18:30:00.000",9599
"January 11th 2019, 18:40:00.000",8016
"January 11th 2019, 18:50:00.000",10367
"January 11th 2019, 19:00:00.000",8213
"January 11th 2019, 19:10:00.000",7458
"January 11th 2019, 19:20:00.000",7396
"January 11th 2019, 19:30:00.000",10146
"January 11th 2019, 19:40:00.000",9070
"January 11th 2019, 19:50:00.000",9989
"January 11th 2019, 20:00:00.000",11066
"January 11th 2019, 20:10:00.000",10693
"January 11th 2019, 20:20:00.000",9622
"January 11th 2019, 20:30:00.000",8721
"January 11th 2019, 20:40:00.000",9317
"January 11th 2019, 20:50:00.000",9164
"January 11th 2019, 21:00:00.000",7191
"January 11th 2019, 21:10:00.000",6075
"January 11th 2019, 21:20:00.000",4814
"January 11th 2019, 21:30:00.000",4077
"January 11th 2019, 21:40:00.000",5830
"January 11th 2019, 21:50:00.000",8912
"January 11th 2019, 22:00:00.000",5595
"January 11th 2019, 22:10:00.000",5177
"January 11th 2019, 22:20:00.000",6026
"January 11th 2019, 22:30:00.000",5307
"January 11th 2019, 22:40:00.000",5930
"January 11th 2019, 22:50:00.000",5965
"January 11th 2019, 23:00:00.000",6007
"January 11th 2019, 23:10:00.000",11080
"January 11th 2019, 23:20:00.000",11135
"January 11th 2019, 23:30:00.000",11389
"January 11th 2019, 23:40:00.000",10494
"January 11th 2019, 23:50:00.000",13591
"January 12th 2019, 00:00:00.000",49287
"January 12th 2019, 00:10:00.000",64274
"January 12th 2019, 00:20:00.000",65274
"January 12th 2019, 00:30:00.000",64759
"January 12th 2019, 00:40:00.000",68263
"January 12th 2019, 00:50:00.000",74743
"January 12th 2019, 01:00:00.000",76747
"January 12th 2019, 01:10:00.000",86585
"January 12th 2019, 01:20:00.000",85670
"January 12th 2019, 01:30:00.000",84922
"January 12th 2019, 01:40:00.000",82597
"January 12th 2019, 01:50:00.000",83007
"January 12th 2019, 02:00:00.000",82730
"January 12th 2019, 02:10:00.000",83358
"January 12th 2019, 02:20:00.000",81212
"January 12th 2019, 02:30:00.000",79800
"January 12th 2019, 02:40:00.000",82619
"January 12th 2019, 02:50:00.000",81319
"January 12th 2019, 03:00:00.000",79721
"January 12th 2019, 03:10:00.000",85078
"January 12th 2019, 03:20:00.000",84451
"January 12th 2019, 03:30:00.000",82489
"January 12th 2019, 03:40:00.000",81898
"January 12th 2019, 03:50:00.000",81674
"January 12th 2019, 04:00:00.000",79792
"January 12th 2019, 04:10:00.000",81466
"January 12th 2019, 04:20:00.000",80730
"January 12th 2019, 04:30:00.000",86048
"January 12th 2019, 04:40:00.000",87498
"January 12th 2019, 04:50:00.000",86414
"January 12th 2019, 05:00:00.000",86644
"January 12th 2019, 05:10:00.000",87144
"January 12th 2019, 05:20:00.000",84928
"January 12th 2019, 05:30:00.000",85392
"January 12th 2019, 05:40:00.000",85745
"January 12th 2019, 05:50:00.000",85836
"January 12th 2019, 06:00:00.000",85311
"January 12th 2019, 06:10:00.000",88399
"January 12th 2019, 06:20:00.000",87473
"January 12th 2019, 06:30:00.000",86899
"January 12th 2019, 06:40:00.000",86739
"January 12th 2019, 06:50:00.000",87636
"January 12th 2019, 07:00:00.000",93797
