,TIMESTAMP,IN_BYTES,OUT_BYTES,IN_PKTS,OUT_PKTS,COUNTS
74,2019-09-04 06:10:00+00:00,0.0,0.0,0.0,0.0,0
75,2019-09-04 06:15:00+00:00,0.0,0.0,0.0,0.0,0
76,2019-09-04 06:20:00+00:00,0.0,0.0,0.0,0.0,0
77,2019-09-04 06:25:00+00:00,0.0,0.0,0.0,0.0,0
78,2019-09-04 06:30:00+00:00,0.0,0.0,0.0,0.0,0
79,2019-09-04 06:35:00+00:00,0.0,0.0,0.0,0.0,0
80,2019-09-04 06:40:00+00:00,0.0,0.0,0.0,0.0,0
81,2019-09-04 06:45:00+00:00,0.0,0.0,0.0,0.0,0
82,2019-09-04 06:50:00+00:00,0.0,0.0,0.0,0.0,0
83,2019-09-04 06:55:00+00:00,0.0,0.0,0.0,0.0,0
84,2019-09-04 07:00:00+00:00,0.0,0.0,0.0,0.0,0
85,2019-09-04 07:05:00+00:00,0.0,0.0,0.0,0.0,0
86,2019-09-04 07:10:00+00:00,0.0,0.0,0.0,0.0,0
87,2019-09-04 07:15:00+00:00,0.0,0.0,0.0,0.0,0
88,2019-09-04 07:20:00+00:00,0.0,0.0,0.0,0.0,0
89,2019-09-04 07:25:00+00:00,0.0,0.0,0.0,0.0,0
90,2019-09-04 07:30:00+00:00,0.0,0.0,0.0,0.0,0
91,2019-09-04 07:35:00+00:00,0.0,0.0,0.0,0.0,0
92,2019-09-04 07:40:00+00:00,0.0,0.0,0.0,0.0,0
93,2019-09-04 07:45:00+00:00,0.0,0.0,0.0,0.0,0
94,2019-09-04 07:50:00+00:00,0.0,0.0,0.0,0.0,0
95,2019-09-04 07:55:00+00:00,0.0,0.0,0.0,0.0,0
96,2019-09-04 08:00:00+00:00,0.0,0.0,0.0,0.0,0
97,2019-09-04 08:05:00+00:00,0.0,0.0,0.0,0.0,0
98,2019-09-04 08:10:00+00:00,0.0,0.0,0.0,0.0,0
99,2019-09-04 08:15:00+00:00,0.0,0.0,0.0,0.0,0
100,2019-09-04 08:20:00+00:00,0.0,0.0,0.0,0.0,0
101,2019-09-04 08:25:00+00:00,0.0,0.0,0.0,0.0,0
102,2019-09-04 08:30:00+00:00,0.0,0.0,0.0,0.0,0
103,2019-09-04 08:35:00+00:00,0.0,0.0,0.0,0.0,0
104,2019-09-04 08:40:00+00:00,0.0,0.0,0.0,0.0,0
105,2019-09-04 08:45:00+00:00,0.0,0.0,0.0,0.0,0
106,2019-09-04 08:50:00+00:00,0.0,0.0,0.0,0.0,0
107,2019-09-04 08:55:00+00:00,0.0,0.0,0.0,0.0,0
108,2019-09-04 09:00:00+00:00,0.0,0.0,0.0,0.0,0
109,2019-09-04 09:05:00+00:00,0.0,0.0,0.0,0.0,0
110,2019-09-04 09:10:00+00:00,0.0,0.0,0.0,0.0,0
111,2019-09-04 09:15:00+00:00,0.0,0.0,0.0,0.0,0
112,2019-09-04 09:20:00+00:00,0.0,0.0,0.0,0.0,0
113,2019-09-04 09:25:00+00:00,0.0,0.0,0.0,0.0,0
114,2019-09-04 09:30:00+00:00,0.0,0.0,0.0,0.0,0
115,2019-09-04 09:35:00+00:00,0.0,0.0,0.0,0.0,0
116,2019-09-04 09:40:00+00:00,0.0,0.0,0.0,0.0,0
117,2019-09-04 09:45:00+00:00,0.0,0.0,0.0,0.0,0
118,2019-09-04 09:50:00+00:00,0.0,0.0,0.0,0.0,0
119,2019-09-04 09:55:00+00:00,0.0,0.0,0.0,0.0,0
120,2019-09-04 10:00:00+00:00,0.0,0.0,0.0,0.0,0
121,2019-09-04 10:05:00+00:00,0.0,0.0,0.0,0.0,0
122,2019-09-04 10:10:00+00:00,0.0,0.0,0.0,0.0,0
123,2019-09-04 10:15:00+00:00,0.0,0.0,0.0,0.0,0
124,2019-09-04 10:20:00+00:00,0.0,0.0,0.0,0.0,0
125,2019-09-04 10:25:00+00:00,0.0,0.0,0.0,0.0,0
126,2019-09-04 10:30:00+00:00,0.0,0.0,0.0,0.0,0
127,2019-09-04 10:35:00+00:00,0.0,0.0,0.0,0.0,0
128,2019-09-04 10:40:00+00:00,0.0,0.0,0.0,0.0,0
129,2019-09-04 10:45:00+00:00,0.0,0.0,0.0,0.0,0
130,2019-09-04 10:50:00+00:00,0.0,0.0,0.0,0.0,0
131,2019-09-04 10:55:00+00:00,0.0,0.0,0.0,0.0,0
132,2019-09-04 11:00:00+00:00,0.0,0.0,0.0,0.0,0
133,2019-09-04 11:05:00+00:00,0.0,0.0,0.0,0.0,0
134,2019-09-04 11:10:00+00:00,0.0,0.0,0.0,0.0,0
135,2019-09-04 11:15:00+00:00,0.0,0.0,0.0,0.0,0
136,2019-09-04 11:20:00+00:00,1052469.0,3910303.0,4376.0,4692.0,348
137,2019-09-04 11:25:00+00:00,23250952.0,188428031.0,95082.0,158761.0,3784
138,2019-09-04 11:30:00+00:00,44297978.0,282271026.0,196449.0,281179.0,7712
139,2019-09-04 11:35:00+00:00,0.0,0.0,0.0,0.0,0
140,2019-09-04 11:40:00+00:00,0.0,0.0,0.0,0.0,0
141,2019-09-04 11:45:00+00:00,0.0,0.0,0.0,0.0,0
142,2019-09-04 11:50:00+00:00,288717841.0,766617143.0,514956.0,702034.0,14928
143,2019-09-04 11:55:00+00:00,170326572.0,724557655.0,464241.0,679392.0,14624
144,2019-09-04 12:00:00+00:00,100024350.0,599651310.0,357196.0,546126.0,16128
145,2019-09-04 12:05:00+00:00,94813690.0,935012311.0,449031.0,792087.0,16136
146,2019-09-04 12:10:00+00:00,93939402.0,950403371.0,415215.0,777329.0,13280
147,2019-09-04 12:15:00+00:00,73418240.0,1151214794.0,446015.0,896355.0,11968
148,2019-09-04 12:20:00+00:00,52425255.0,932566030.0,341682.0,724607.0,10144
149,2019-09-04 12:25:00+00:00,59548310.0,1105069116.0,389768.0,847961.0,9536
150,2019-09-04 12:30:00+00:00,74741223.0,974196725.0,316748.0,754158.0,8824
151,2019-09-04 12:35:00+00:00,32264914.0,382851398.0,155756.0,330385.0,8648
152,2019-09-04 12:40:00+00:00,57320760.0,729056561.0,281711.0,590553.0,9432
153,2019-09-04 12:45:00+00:00,50002350.0,740985956.0,284247.0,591155.0,9232
154,2019-09-04 12:50:00+00:00,49420150.0,799638513.0,298438.0,632092.0,9520
155,2019-09-04 12:55:00+00:00,65070026.0,613434582.0,256264.0,506658.0,10256
156,2019-09-04 13:00:00+00:00,34574834.0,401183844.0,180612.0,347627.0,8424
157,2019-09-04 13:05:00+00:00,72121209.0,670518666.0,231267.0,556485.0,8528
158,2019-09-04 13:10:00+00:00,79415501.0,770862873.0,272318.0,631770.0,9784
159,2019-09-04 13:15:00+00:00,37577272.0,335919514.0,175957.0,304035.0,9160
160,2019-09-04 13:20:00+00:00,33278603.0,362538323.0,160440.0,313655.0,7664
161,2019-09-04 13:25:00+00:00,87903622.0,507729403.0,281737.0,463696.0,9688
162,2019-09-04 13:30:00+00:00,128250162.0,768700687.0,403565.0,673817.0,11824
163,2019-09-04 13:35:00+00:00,216413416.0,4731669022.0,918683.0,3511575.0,12128
164,2019-09-04 13:40:00+00:00,39296276.0,560642093.0,208366.0,462169.0,6832
165,2019-09-04 13:45:00+00:00,0.0,0.0,0.0,0.0,0
166,2019-09-04 13:50:00+00:00,0.0,0.0,0.0,0.0,0
167,2019-09-04 13:55:00+00:00,0.0,0.0,0.0,0.0,0
168,2019-09-04 14:00:00+00:00,0.0,0.0,0.0,0.0,0
169,2019-09-04 14:05:00+00:00,0.0,0.0,0.0,0.0,0
170,2019-09-04 14:10:00+00:00,0.0,0.0,0.0,0.0,0
171,2019-09-04 14:15:00+00:00,0.0,0.0,0.0,0.0,0
172,2019-09-04 14:20:00+00:00,0.0,0.0,0.0,0.0,0
173,2019-09-04 14:25:00+00:00,0.0,0.0,0.0,0.0,0
174,2019-09-04 14:30:00+00:00,0.0,0.0,0.0,0.0,0
175,2019-09-04 14:35:00+00:00,0.0,0.0,0.0,0.0,0
176,2019-09-04 14:40:00+00:00,0.0,0.0,0.0,0.0,0
177,2019-09-04 14:45:00+00:00,0.0,0.0,0.0,0.0,0
178,2019-09-04 14:50:00+00:00,0.0,0.0,0.0,0.0,0
179,2019-09-04 14:55:00+00:00,0.0,0.0,0.0,0.0,0
180,2019-09-04 15:00:00+00:00,0.0,0.0,0.0,0.0,0
181,2019-09-04 15:05:00+00:00,0.0,0.0,0.0,0.0,0
182,2019-09-04 15:10:00+00:00,0.0,0.0,0.0,0.0,0
183,2019-09-04 15:15:00+00:00,0.0,0.0,0.0,0.0,0
184,2019-09-04 15:20:00+00:00,0.0,0.0,0.0,0.0,0
185,2019-09-04 15:25:00+00:00,0.0,0.0,0.0,0.0,0
186,2019-09-04 15:30:00+00:00,1599205.0,7125502.0,4815.0,6873.0,304
187,2019-09-04 15:35:00+00:00,191231995.0,1185385872.0,687350.0,1043930.0,19256
188,2019-09-04 15:40:00+00:00,118764966.0,982410857.0,518710.0,841285.0,18920
189,2019-09-04 15:45:00+00:00,111663217.0,804486409.0,432525.0,713883.0,17752
190,2019-09-04 15:50:00+00:00,131353477.0,1503873197.0,657284.0,1218083.0,18736
191,2019-09-04 15:55:00+00:00,305287828.0,1371944122.0,758983.0,1209727.0,17808
192,2019-09-04 16:00:00+00:00,215599987.0,885539464.0,533384.0,802628.0,16512
193,2019-09-04 16:05:00+00:00,149136160.0,1344028675.0,431913.0,1050652.0,14468
194,2019-09-04 16:10:00+00:00,226264135.0,2292260685.0,672334.0,1730256.0,16248
195,2019-09-04 16:15:00+00:00,176162699.0,1724528250.0,546042.0,1363992.0,17408
