,timestamp,value
0,1578873600.0,532232091.0
1,1578873900.0,766973833.0
2,1578874200.0,765413437.0
3,1578874500.0,465940217.0
4,1578874800.0,761122921.0
5,1578875100.0,780002804.0
6,1578875400.0,771501056.0
7,1578875700.0,355483188.0
8,1578876000.0,719516031.0
9,1578876300.0,662487274.0
10,1578876600.0,629301074.0
11,1578876900.0,696357611.0
12,1578877200.0,672315869.0
13,1578877500.0,646517045.0
14,1578877800.0,577686398.0
15,1578878100.0,517209464.0
16,1578878400.0,627312718.0
17,1578878700.0,1088356656.0
18,1578879000.0,604752715.0
19,1578879300.0,725036428.0
20,1578879600.0,836673061.0
21,1578879900.0,1620218879.0
22,1578880200.0,791002497.0
23,1578880500.0,844051029.0
24,1578880800.0,852663452.0
25,1578881100.0,936598004.0
26,1578881400.0,1014241178.0
27,1578881700.0,849500274.0
28,1578882000.0,820622705.0
29,1578882300.0,796426826.0
30,1578882600.0,856358079.0
31,1578882900.0,878405979.0
32,1578883200.0,795754372.0
33,1578883500.0,767656868.0
34,1578883800.0,912580640.0
35,1578884100.0,1136520770.0
36,1578884400.0,1272007367.0
37,1578884700.0,906117510.0
38,1578885000.0,992418371.0
39,1578885300.0,1185626915.0
40,1578885600.0,948625513.0
41,1578885900.0,816000977.0
42,1578886200.0,888499417.0
43,1578886500.0,915880003.0
44,1578886800.0,910207677.0
45,1578887100.0,861073205.0
46,1578887400.0,902279494.0
47,1578887700.0,837691402.0
48,1578888000.0,866320384.0
49,1578888300.0,1237409667.0
50,1578888600.0,857821708.0
51,1578888900.0,798322533.0
52,1578889200.0,826530572.0
53,1578889500.0,945929603.0
54,1578889800.0,879571093.0
55,1578890100.0,978597036.0
56,1578890400.0,782100593.0
57,1578890700.0,805072790.0
58,1578891000.0,854666920.0
59,1578891300.0,1002168834.0
60,1578891600.0,665093325.0
61,1578891900.0,684645824.0
62,1578892200.0,686968571.0
63,1578892500.0,631798472.0
64,1578892800.0,575439716.0
65,1578893100.0,626354814.0
66,1578893400.0,591488469.0
67,1578893700.0,622917919.0
68,1578894000.0,551220416.0
69,1578894300.0,608730434.0
70,1578894600.0,551276046.0
71,1578894900.0,571652495.0
72,1578895200.0,571766659.0
73,1578895500.0,575780671.0
74,1578895800.0,614770735.0
75,1578896100.0,764391678.0
76,1578896400.0,678140789.0
77,1578896700.0,677395758.0
78,1578897000.0,634636056.0
79,1578897300.0,640325696.0
80,1578897600.0,703507202.0
81,1578897900.0,682153206.0
82,1578898200.0,756522042.0
83,1578898500.0,862969898.0
